Epoch: 75 | mean loss: 8.88495 | total acc: 0.74635 | total recall: 0.72806 | total f1 scroe: 0.73709
Epoch: 76 | mean loss: 7.61527 | total acc: 0.77345 | total recall: 0.76917 | total f1 scroe: 0.77130
Epoch: 77 | mean loss: 6.59929 | total acc: 0.78849 | total recall: 0.76917 | total f1 scroe: 0.77871
Epoch: 78 | mean loss: 7.89575 | total acc: 0.78320 | total recall: 0.77391 | total f1 scroe: 0.77853
Epoch: 79 | mean loss: 7.67967 | total acc: 0.80114 | total recall: 0.77708 | total f1 scroe: 0.78892
Epoch: 80 | mean loss: 6.91338 | total acc: 0.79725 | total recall: 0.78024 | total f1 scroe: 0.78865
Epoch: 81 | mean loss: 9.73363 | total acc: 0.75122 | total recall: 0.73281 | total f1 scroe: 0.74190
Epoch: 82 | mean loss: 7.78499 | total acc: 0.76672 | total recall: 0.76126 | total f1 scroe: 0.76398
Epoch: 83 | mean loss: 7.12533 | total acc: 0.76551 | total recall: 0.75099 | total f1 scroe: 0.75818
Epoch: 84 | mean loss: 8.97371 | total acc: 0.76504 | total recall: 0.75415 | total f1 scroe: 0.75955
Epoch: 85 | mean loss: 8.43476 | total acc: 0.75600 | total recall: 0.74704 | total f1 scroe: 0.75149
Epoch: 86 | mean loss: 6.54894 | total acc: 0.79481 | total recall: 0.77470 | total f1 scroe: 0.78463
Epoch: 87 | mean loss: 6.42773 | total acc: 0.77787 | total recall: 0.76680 | total f1 scroe: 0.77229
Epoch: 88 | mean loss: 6.87220 | total acc: 0.77597 | total recall: 0.75573 | total f1 scroe: 0.76572
Epoch: 89 | mean loss: 6.86717 | total acc: 0.77561 | total recall: 0.75415 | total f1 scroe: 0.76473
Epoch: 90 | mean loss: 7.34676 | total acc: 0.76275 | total recall: 0.74466 | total f1 scroe: 0.75360
Epoch: 91 | mean loss: 7.30283 | total acc: 0.75000 | total recall: 0.73518 | total f1 scroe: 0.74251
Epoch: 92 | mean loss: 9.39864 | total acc: 0.73899 | total recall: 0.71621 | total f1 scroe: 0.72742
Epoch: 93 | mean loss: 7.71289 | total acc: 0.75796 | total recall: 0.75257 | total f1 scroe: 0.75526
Epoch: 94 | mean loss: 7.37338 | total acc: 0.77858 | total recall: 0.76996 | total f1 scroe: 0.77424
Epoch: 95 | mean loss: 6.96408 | total acc: 0.77625 | total recall: 0.75968 | total f1 scroe: 0.76788
Epoch: 96 | mean loss: 6.14159 | total acc: 0.75714 | total recall: 0.75415 | total f1 scroe: 0.75564
Epoch: 97 | mean loss: 8.57051 | total acc: 0.76106 | total recall: 0.74783 | total f1 scroe: 0.75439
Epoch: 98 | mean loss: 8.44810 | total acc: 0.74341 | total recall: 0.73518 | total f1 scroe: 0.73927
Epoch: 99 | mean loss: 7.57923 | total acc: 0.78321 | total recall: 0.75968 | total f1 scroe: 0.77127
Epoch: 100 | mean loss: 7.65130 | total acc: 0.76536 | total recall: 0.75810 | total f1 scroe: 0.76172
Epoch: 101 | mean loss: 8.39839 | total acc: 0.73734 | total recall: 0.73676 | total f1 scroe: 0.73705
Epoch: 102 | mean loss: 6.42407 | total acc: 0.78909 | total recall: 0.77787 | total f1 scroe: 0.78344
Epoch: 103 | mean loss: 7.22283 | total acc: 0.76113 | total recall: 0.74308 | total f1 scroe: 0.75200
Epoch: 104 | mean loss: 6.07224 | total acc: 0.79297 | total recall: 0.78419 | total f1 scroe: 0.78855
Epoch: 105 | mean loss: 6.22067 | total acc: 0.76911 | total recall: 0.74783 | total f1 scroe: 0.75832
Epoch: 106 | mean loss: 6.82634 | total acc: 0.78205 | total recall: 0.77154 | total f1 scroe: 0.77676
Epoch: 107 | mean loss: 9.54865 | total acc: 0.75464 | total recall: 0.73913 | total f1 scroe: 0.74681
Epoch: 108 | mean loss: 6.95427 | total acc: 0.79711 | total recall: 0.78577 | total f1 scroe: 0.79140
Epoch: 109 | mean loss: 7.17180 | total acc: 0.77616 | total recall: 0.75652 | total f1 scroe: 0.76621
Epoch: 110 | mean loss: 6.88335 | total acc: 0.77435 | total recall: 0.77312 | total f1 scroe: 0.77373
Epoch: 111 | mean loss: 7.48981 | total acc: 0.76471 | total recall: 0.73992 | total f1 scroe: 0.75211
Epoch: 112 | mean loss: 7.06879 | total acc: 0.77866 | total recall: 0.77866 | total f1 scroe: 0.77866
Epoch: 113 | mean loss: 7.03809 | total acc: 0.77930 | total recall: 0.76206 | total f1 scroe: 0.77058
