Epoch: 91 | mean loss: 8.30713 | total acc: 0.72065 | total recall: 0.60959 | total f1 scroe: 0.66048
Epoch: 92 | mean loss: 9.47628 | total acc: 0.78988 | total recall: 0.69521 | total f1 scroe: 0.73953
Epoch: 93 | mean loss: 9.74437 | total acc: 0.58306 | total recall: 0.61301 | total f1 scroe: 0.59766
Epoch: 94 | mean loss: 6.43185 | total acc: 0.82510 | total recall: 0.74315 | total f1 scroe: 0.78198
Epoch: 95 | mean loss: 8.03340 | total acc: 0.55249 | total recall: 0.68493 | total f1 scroe: 0.61162
Epoch: 96 | mean loss: 6.34776 | total acc: 0.76351 | total recall: 0.77397 | total f1 scroe: 0.76871
Epoch: 97 | mean loss: 8.70685 | total acc: 0.75987 | total recall: 0.79110 | total f1 scroe: 0.77517
Epoch: 98 | mean loss: 6.51716 | total acc: 0.77966 | total recall: 0.78767 | total f1 scroe: 0.78365
Epoch: 99 | mean loss: 5.75633 | total acc: 0.85882 | total recall: 0.75000 | total f1 scroe: 0.80073
Epoch: 100 | mean loss: 6.79657 | total acc: 0.78519 | total recall: 0.72603 | total f1 scroe: 0.75445
Epoch: 101 | mean loss: 8.23628 | total acc: 0.68730 | total recall: 0.72260 | total f1 scroe: 0.70451
Epoch: 102 | mean loss: 7.16937 | total acc: 0.78947 | total recall: 0.71918 | total f1 scroe: 0.75269
Epoch: 103 | mean loss: 5.44462 | total acc: 0.76056 | total recall: 0.73973 | total f1 scroe: 0.75000
Epoch: 104 | mean loss: 7.31453 | total acc: 0.85957 | total recall: 0.69178 | total f1 scroe: 0.76660
Epoch: 105 | mean loss: 7.21580 | total acc: 0.87395 | total recall: 0.71233 | total f1 scroe: 0.78491
Epoch: 106 | mean loss: 7.44978 | total acc: 0.75958 | total recall: 0.74658 | total f1 scroe: 0.75302
Epoch: 107 | mean loss: 9.98003 | total acc: 0.78022 | total recall: 0.72945 | total f1 scroe: 0.75398
Epoch: 108 | mean loss: 7.07215 | total acc: 0.83513 | total recall: 0.79795 | total f1 scroe: 0.81611
Epoch: 109 | mean loss: 7.58861 | total acc: 0.71622 | total recall: 0.72603 | total f1 scroe: 0.72109
Epoch: 110 | mean loss: 6.56486 | total acc: 0.81992 | total recall: 0.73288 | total f1 scroe: 0.77396
Epoch: 111 | mean loss: 11.27889 | total acc: 0.81091 | total recall: 0.76370 | total f1 scroe: 0.78660
Epoch: 112 | mean loss: 10.35221 | total acc: 0.69928 | total recall: 0.66096 | total f1 scroe: 0.67958
Epoch: 113 | mean loss: 7.56370 | total acc: 0.84342 | total recall: 0.81164 | total f1 scroe: 0.82723
Epoch: 114 | mean loss: 8.10624 | total acc: 0.74558 | total recall: 0.72260 | total f1 scroe: 0.73391
Epoch: 115 | mean loss: 6.08401 | total acc: 0.83459 | total recall: 0.76027 | total f1 scroe: 0.79570
Epoch: 116 | mean loss: 5.59975 | total acc: 0.81369 | total recall: 0.73288 | total f1 scroe: 0.77117
Epoch: 117 | mean loss: 8.26494 | total acc: 0.79048 | total recall: 0.56849 | total f1 scroe: 0.66135
Epoch: 118 | mean loss: 7.50820 | total acc: 0.75161 | total recall: 0.79795 | total f1 scroe: 0.77409
Epoch: 119 | mean loss: 7.22653 | total acc: 0.73355 | total recall: 0.76370 | total f1 scroe: 0.74832
Epoch: 120 | mean loss: 11.49238 | total acc: 0.77308 | total recall: 0.68836 | total f1 scroe: 0.72826
Epoch: 121 | mean loss: 11.04424 | total acc: 0.78388 | total recall: 0.73288 | total f1 scroe: 0.75752
Epoch: 122 | mean loss: 9.50713 | total acc: 0.86822 | total recall: 0.76712 | total f1 scroe: 0.81455
Epoch: 123 | mean loss: 10.78966 | total acc: 0.60684 | total recall: 0.72945 | total f1 scroe: 0.66252
Epoch: 124 | mean loss: 8.10492 | total acc: 0.81172 | total recall: 0.66438 | total f1 scroe: 0.73070
Epoch: 125 | mean loss: 7.66296 | total acc: 0.74403 | total recall: 0.74658 | total f1 scroe: 0.74530
Epoch: 126 | mean loss: 10.13382 | total acc: 0.81532 | total recall: 0.61986 | total f1 scroe: 0.70428
